id,phone_id,counterparty_number,call_time,duration_seconds,data_source
CR000001,PH000047,8125903797,2026-02-18T03:45:20Z,39,SYNTHETIC
CR000002,PH000419,6248808571,2025-09-25T08:11:59Z,674,SYNTHETIC
CR000003,PH000327,8603370805,2024-03-24T11:17:42Z,746,SYNTHETIC
CR000004,PH000064,8089771202,2025-11-12T21:47:41Z,1207,SYNTHETIC
CR000005,PH000087,9429713771,2024-03-31T04:02:40Z,1722,SYNTHETIC
CR000006,PH000195,8088501498,2025-10-31T19:59:36Z,203,SYNTHETIC
CR000007,PH000198,8706527532,2024-07-16T08:26:28Z,45,SYNTHETIC
CR000008,PH000316,8162074407,2024-01-12T00:27:45Z,59,SYNTHETIC
CR000009,PH000320,8190723856,2025-08-18T16:31:35Z,896,SYNTHETIC
CR000010,PH000101,8924467453,2026-08-23T20:43:13Z,306,SYNTHETIC
CR000011,PH000194,7614110071,2026-03-17T18:53:37Z,1368,SYNTHETIC
CR000012,PH000324,6720268820,2025-02-16T16:08:36Z,1027,SYNTHETIC
CR000013,PH000269,7029480386,2024-05-25T09:07:33Z,843,SYNTHETIC
CR000014,PH000231,7132365991,2024-01-15T15:32:49Z,1476,SYNTHETIC
CR000015,PH000181,9255043206,2024-02-28T16:48:21Z,1503,SYNTHETIC
CR000016,PH000026,6168767956,2024-06-02T00:05:30Z,1745,SYNTHETIC
CR000017,PH000049,6217485870,2024-03-01T14:51:31Z,1339,SYNTHETIC
CR000018,PH000098,7366362689,2025-10-02T11:43:23Z,191,SYNTHETIC
CR000019,PH000001,9034265023,2024-04-24T16:57:14Z,125,SYNTHETIC
CR000020,PH000318,6758971576,2026-07-30T13:03:08Z,623,SYNTHETIC
CR000021,PH000265,9184559120,2026-02-07T22:17:18Z,674,SYNTHETIC
CR000022,PH000225,6225565384,2026-03-30T16:30:10Z,1444,SYNTHETIC
CR000023,PH000202,8190723856,2024-09-12T21:44:51Z,1188,SYNTHETIC
CR000024,PH000058,8013720592,2025-08-18T06:50:33Z,1751,SYNTHETIC
CR000025,PH000205,6564699674,2025-03-10T20:46:54Z,1197,SYNTHETIC
CR000026,PH000341,7221163768,2026-04-03T09:27:08Z,1228,SYNTHETIC
CR000027,PH000344,7132365991,2026-05-29T16:51:02Z,444,SYNTHETIC
CR000028,PH000095,9184559120,2025-01-08T11:06:48Z,1735,SYNTHETIC
CR000029,PH000118,7606749938,2025-03-31T14:29:37Z,562,SYNTHETIC
CR000030,PH000191,8279853154,2024-03-02T00:20:36Z,1181,SYNTHETIC
CR000031,PH000123,7258965734,2025-12-23T05:31:20Z,515,SYNTHETIC
CR000032,PH000131,9294296673,2026-03-02T14:54:14Z,49,SYNTHETIC
CR000033,PH000195,7260213818,2024-07-16T10:57:24Z,483,SYNTHETIC
CR000034,PH000362,9900199443,2025-05-15T21:57:14Z,747,SYNTHETIC
CR000035,PH000264,7700947059,2026-03-02T23:31:27Z,1586,SYNTHETIC
CR000036,PH000343,9906286630,2026-07-08T04:49:21Z,479,SYNTHETIC
CR000037,PH000195,8219110552,2024-08-17T15:09:37Z,1391,SYNTHETIC
CR000038,PH000099,8552362285,2026-03-29T15:31:46Z,538,SYNTHETIC
CR000039,PH000098,7441718125,2024-08-08T15:07:23Z,1565,SYNTHETIC
CR000040,PH000047,9694731843,2024-09-04T09:08:12Z,1132,SYNTHETIC
CR000041,PH000049,9880201084,2024-08-22T16:49:38Z,1271,SYNTHETIC
CR000042,PH000309,9294296673,2024-07-22T03:10:07Z,420,SYNTHETIC
CR000043,PH000091,8125903797,2025-03-18T08:48:04Z,1414,SYNTHETIC
CR000044,PH000099,9900003731,2026-03-28T08:32:13Z,1016,SYNTHETIC
CR000045,PH000017,6968813353,2024-12-10T00:18:56Z,1618,SYNTHETIC
CR000046,PH000194,6955796177,2025-05-01T15:00:26Z,1459,SYNTHETIC
CR000047,PH000286,7532008136,2024-06-11T16:50:40Z,171,SYNTHETIC
CR000048,PH000240,7532008136,2026-01-16T04:22:03Z,914,SYNTHETIC
CR000049,PH000160,9960013487,2025-11-08T13:07:09Z,1381,SYNTHETIC
CR000050,PH000197,9270598443,2026-06-02T04:16:07Z,740,SYNTHETIC
CR000051,PH000153,8694970409,2026-07-15T20:21:28Z,810,SYNTHETIC
CR000052,PH000298,8391233835,2025-10-13T02:30:33Z,857,SYNTHETIC
CR000053,PH000014,7577715535,2025-01-03T04:44:43Z,162,SYNTHETIC
CR000054,PH000202,8706527532,2024-04-18T15:47:31Z,362,SYNTHETIC
CR000055,PH000176,6966927819,2024-12-21T11:43:30Z,1470,SYNTHETIC
CR000056,PH000341,8918890383,2024-05-18T02:38:08Z,957,SYNTHETIC
CR000057,PH000058,7565379443,2024-04-04T10:31:56Z,626,SYNTHETIC
CR000058,PH000058,8089771202,2024-01-20T08:35:32Z,190,SYNTHETIC
CR000059,PH000273,9839654741,2024-03-27T22:06:33Z,1260,SYNTHETIC
CR000060,PH000155,9960013487,2024-12-28T05:04:57Z,1479,SYNTHETIC
CR000061,PH000023,7737352525,2026-05-30T03:37:28Z,940,SYNTHETIC
CR000062,PH000002,6127416934,2026-06-26T04:31:20Z,791,SYNTHETIC
CR000063,PH000251,7804141328,2025-11-03T16:51:49Z,886,SYNTHETIC
CR000064,PH000268,7804141328,2025-03-08T08:14:51Z,1546,SYNTHETIC
CR000065,PH000276,7260213818,2026-04-16T16:06:08Z,312,SYNTHETIC
CR000066,PH000213,8644261243,2024-01-14T17:28:04Z,260,SYNTHETIC
CR000067,PH000370,9773438064,2025-06-02T17:43:14Z,318,SYNTHETIC
CR000068,PH000269,8268648378,2024-05-31T13:40:47Z,477,SYNTHETIC
CR000069,PH000057,6338583094,2025-08-21T13:05:01Z,1396,SYNTHETIC
CR000070,PH000233,8449996340,2024-12-25T11:26:05Z,1280,SYNTHETIC
CR000071,PH000135,9294296673,2024-05-24T11:37:52Z,16,SYNTHETIC
CR000072,PH000167,8162074407,2025-10-09T17:46:37Z,1295,SYNTHETIC
CR000073,PH000212,8548837760,2024-08-27T01:58:10Z,532,SYNTHETIC
CR000074,PH000104,8548242505,2024-07-22T19:54:51Z,1487,SYNTHETIC
CR000075,PH000002,9550370881,2026-08-03T02:38:35Z,1633,SYNTHETIC
CR000076,PH000177,8279853154,2025-02-13T19:57:09Z,1720,SYNTHETIC
CR000077,PH000026,7482196961,2024-12-27T08:18:54Z,306,SYNTHETIC
CR000078,PH000355,7611657175,2026-03-07T12:15:13Z,1681,SYNTHETIC
