id,source_record_id,source_record_type,entity_text,entity_type,confidence,span_start,span_end,extraction_model,resolved_entity_id,created_at
EM000001,FR000003,FIR,Complainant Kai Acharya,PERSON,0.78,0,23,drishyam-ner-v1,,2026-09-07T05:41:13.262002Z
EM000002,FR000003,FIR,Salem,PERSON,0.78,37,42,drishyam-ner-v1,,2026-09-07T05:41:13.262006Z
EM000003,FR000003,FIR,Section,PERSON,0.78,57,64,drishyam-ner-v1,,2026-09-07T05:41:13.262009Z
EM000004,FR000003,FIR,Section 154 CrPC,LEGAL_SECTION,0.85,57,73,drishyam-ner-v1,,2026-09-07T05:41:13.262012Z
EM000005,FR000003,FIR,11-Sep-2024,DATE,0.8,87,98,drishyam-ner-v1,,2026-09-07T05:41:13.262015Z
EM000006,FR000003,FIR,Sep,PERSON,0.78,90,93,drishyam-ner-v1,,2026-09-07T05:41:13.262020Z
EM000007,FR000003,FIR,19-Sep-2024,DATE,0.8,103,114,drishyam-ner-v1,,2026-09-07T05:41:13.262022Z
EM000008,FR000003,FIR,Sep,PERSON,0.78,106,109,drishyam-ner-v1,,2026-09-07T05:41:13.262024Z
EM000009,FR000003,FIR,Oviya Tripathi,PERSON,0.78,116,130,drishyam-ner-v1,P000025,2026-09-07T05:41:13.262027Z
EM000010,FR000003,FIR,Baghyawati Parsa,PERSON,0.78,152,168,drishyam-ner-v1,P000012,2026-09-07T05:41:13.262030Z
EM000011,FR000003,FIR,Silver Line Network,GANG,0.82,181,200,drishyam-ner-v1,ORG000002,2026-09-07T05:41:13.262032Z
EM000012,FR000003,FIR,A/C XXXX5409,BANK_ACCOUNT,0.85,229,241,drishyam-ner-v1,AC000014,2026-09-07T05:41:13.262034Z
EM000013,FR000003,FIR,02/09/2024,DATE,0.8,297,307,drishyam-ner-v1,,2026-09-07T05:41:13.262036Z
EM000014,FR000003,FIR,A/C XXXX5409,BANK_ACCOUNT,0.85,355,367,drishyam-ner-v1,AC000014,2026-09-07T05:41:13.262039Z
EM000015,FR000003,FIR,Suspects,PERSON,0.78,387,395,drishyam-ner-v1,,2026-09-07T05:41:13.262041Z
EM000016,FR000003,FIR,7815260768,PHONE,0.97,407,417,drishyam-ner-v1,PH000033,2026-09-07T05:41:13.262043Z
EM000017,FR000003,FIR,Oviya Tripathi,PERSON,0.78,461,475,drishyam-ner-v1,P000025,2026-09-07T05:41:13.262045Z
EM000018,FR000003,FIR,Royapuram Fuel Station,PERSON,0.78,495,517,drishyam-ner-v1,,2026-09-07T05:41:13.262048Z
EM000019,FR000003,FIR,TN01 RS 5495,VEHICLE,0.9,552,564,drishyam-ner-v1,VH000015,2026-09-07T05:41:13.262050Z
EM000020,FR000003,FIR,Number,PERSON,0.78,570,576,drishyam-ner-v1,,2026-09-07T05:41:13.262052Z
EM000021,FR000003,FIR,FIR-2024-0001,FIR_NUMBER,0.95,577,590,drishyam-ner-v1,,2026-09-07T05:41:13.262054Z
EM000022,FR000003,FIR,Case Number,LOCATION,0.7,608,619,drishyam-ner-v1,,2026-09-07T05:41:13.262056Z
EM000023,FR000003,FIR,CASE-0001,CASE_NUMBER,0.95,620,629,drishyam-ner-v1,,2026-09-07T05:41:13.262058Z
EM000024,FR000003,FIR,Section,PERSON,0.78,649,656,drishyam-ner-v1,,2026-09-07T05:41:13.262060Z
EM000025,FR000003,FIR,Section 120B IPC,LEGAL_SECTION,0.85,649,665,drishyam-ner-v1,,2026-09-07T05:41:13.262062Z
EM000026,FR000003,FIR,Section,PERSON,0.78,670,677,drishyam-ner-v1,,2026-09-07T05:41:13.262065Z
EM000027,FR000003,FIR,Section 120B IPC,LEGAL_SECTION,0.85,670,686,drishyam-ner-v1,,2026-09-07T05:41:13.262067Z
EM000028,FR000004,FIR,10/12/2025,DATE,0.8,3,13,drishyam-ner-v1,,2026-09-07T05:41:13.263197Z
EM000029,FR000004,FIR,Pothigai Nagar Oil,PERSON,0.78,54,72,drishyam-ner-v1,,2026-09-07T05:41:13.263201Z
EM000030,FR000004,FIR,Depot,PERSON,0.78,73,78,drishyam-ner-v1,,2026-09-07T05:41:13.263203Z
EM000031,FR000004,FIR,Chennai,PERSON,0.78,80,87,drishyam-ner-v1,,2026-09-07T05:41:13.263205Z
