id,account_number_masked,owner_person_id,bank_name,data_source,created_at
AC000001,XXXX3525,P000001,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.201553Z
AC000002,XXXX7593,P000001,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.201564Z
AC000003,XXXX9339,P000002,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.201577Z
AC000004,XXXX8272,P000002,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.201584Z
AC000005,XXXX4274,P000003,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.201593Z
AC000006,XXXX1525,P000004,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.201603Z
AC000007,XXXX1771,P000005,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.201610Z
AC000008,XXXX5336,P000006,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.201617Z
AC000009,XXXX9547,P000007,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.201624Z
AC000010,XXXX3439,P000008,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.201633Z
AC000011,XXXX9252,P000009,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.201640Z
AC000012,XXXX4811,P000010,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.201647Z
AC000013,XXXX8276,P000011,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.201654Z
AC000014,XXXX5409,P000012,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.201662Z
AC000015,XXXX1955,P000013,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.201669Z
AC000016,XXXX9605,P000014,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.201676Z
AC000017,XXXX8098,P000015,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.201684Z
AC000018,XXXX8208,P000016,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.201690Z
AC000019,XXXX5932,P000017,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.201696Z
AC000020,XXXX3304,P000018,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.201701Z
AC000021,XXXX7450,P000019,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.201707Z
AC000022,XXXX8151,P000019,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.201712Z
AC000023,XXXX2288,P000020,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.201719Z
AC000024,XXXX8927,P000020,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.201725Z
AC000025,XXXX2567,P000021,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.201737Z
AC000026,XXXX2330,P000021,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.201742Z
AC000027,XXXX7731,P000021,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.201747Z
AC000028,XXXX5596,P000022,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.201753Z
AC000029,XXXX7626,P000023,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.201760Z
AC000030,XXXX6177,P000024,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.201765Z
AC000031,XXXX6288,P000025,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.201769Z
AC000032,XXXX9197,P000026,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.201773Z
AC000033,XXXX1561,P000027,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.201777Z
AC000034,XXXX1383,P000028,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.201782Z
AC000035,XXXX5709,P000029,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.201785Z
AC000036,XXXX4739,P000030,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.201789Z
AC000037,XXXX5171,P000031,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.201793Z
AC000038,XXXX5330,P000032,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.201799Z
AC000039,XXXX9287,P000032,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.201803Z
AC000040,XXXX3701,P000033,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.201808Z
AC000041,XXXX5274,P000033,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.201811Z
AC000042,XXXX9825,P000034,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.201816Z
AC000043,XXXX9815,P000034,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.201819Z
AC000044,XXXX3826,P000035,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.201824Z
AC000045,XXXX4987,P000036,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.201832Z
AC000046,XXXX9144,P000037,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.201836Z
AC000047,XXXX8052,P000038,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.201840Z
AC000048,XXXX3175,P000039,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.201844Z
AC000049,XXXX5271,P000040,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.201850Z
