id,title,description,related_entities,confidence,status,created_at
IL000001,Shared transit asset: vehicle TN46 EL 7653,"Vehicle TN46 EL 7653 (lorry) is linked to multiple distinct operatives: Tanveer Dhillon, Ishita Sarna.","[""VH000001"", ""P000005"", ""P000001""]",0.88,open,2026-09-07T05:41:20.157811Z
IL000002,Shared transit asset: vehicle TN23 BT 6416,"Vehicle TN23 BT 6416 (truck) is linked to multiple distinct operatives: Oviya Tripathi, Nandini Borah.","[""VH000012"", ""P000025"", ""P000019""]",0.88,open,2026-09-07T05:41:20.157831Z
IL000003,Shared transit asset: vehicle TN49 AL 5724,"Vehicle TN49 AL 5724 (motorcycle) is linked to multiple distinct operatives: Ikbal Raghavan, Arjun Soman.","[""VH000022"", ""P000032"", ""P000042""]",0.88,open,2026-09-07T05:41:20.157842Z
IL000004,Shared transit asset: vehicle TN21 HV 1242,"Vehicle TN21 HV 1242 (SUV) is linked to multiple distinct operatives: Sarthak Warrior, Alka Mohanty.","[""VH000031"", ""P000062"", ""P000044""]",0.88,open,2026-09-07T05:41:20.157853Z
IL000005,Shared transit asset: vehicle TN63 US 7528,"Vehicle TN63 US 7528 (motorcycle) is linked to multiple distinct operatives: Dayita Nadig, Alka Sur.","[""VH000048"", ""P000071"", ""P000083""]",0.88,open,2026-09-07T05:41:20.157862Z
IL000006,Shared transit asset: vehicle TN45 TG 8486,"Vehicle TN45 TG 8486 (motorcycle) is linked to multiple distinct operatives: Simon Sandal, Mitesh Rau.","[""VH000064"", ""P000096"", ""P000107""]",0.88,open,2026-09-07T05:41:20.157872Z
IL000007,Shared transit asset: vehicle TN25 DN 5476,"Vehicle TN25 DN 5476 (SUV) is linked to multiple distinct operatives: Kritika Maharaj, Lakshit Verma.","[""VH000074"", ""P000110"", ""P000109""]",0.88,open,2026-09-07T05:41:20.157882Z
IL000008,Shared transit asset: vehicle TN46 XV 8035,"Vehicle TN46 XV 8035 (truck) is linked to multiple distinct operatives: Harshil Ramesh, Ronith Pingle.","[""VH000082"", ""P000120"", ""P000129""]",0.88,open,2026-09-07T05:41:20.157892Z
IL000009,Shared transit asset: vehicle TN55 AV 5925,"Vehicle TN55 AV 5925 (motorcycle) is linked to multiple distinct operatives: Kashish Venkatesh, Akshay Rau.","[""VH000092"", ""P000138"", ""P000153""]",0.88,open,2026-09-07T05:41:20.157902Z
IL000010,Shared transit asset: vehicle TN01 ZH 4647,"Vehicle TN01 ZH 4647 (SUV) is linked to multiple distinct operatives: Wishi Bir, Oni Borde.","[""VH000105"", ""P000162"", ""P000154""]",0.88,open,2026-09-07T05:41:20.157912Z
