id,report_type,entity_id,case_id,title,content_json,created_by,created_at
RP000001,Entity Relationship Report,AC000023,CS000026,Entity Relationship Report - Network-wide,"{""report_type"": ""Entity Relationship Report"", ""generated_for"": ""Network-wide"", ""data_classification"": ""SYNTHETIC / DEMO DATA - NOT REAL POLICE DATA"", ""summary"": ""Consolidated analytical overview compiled from 6989 evidence-backed relationships across the synthetic DRISHYAM dataset. Subject: Network-wide."", ""sections"": {""identity"": ""See Dossier 360 for the full identity and alias trail."", ""network_position"": ""Centrality and community metrics derived from the relationships graph."", ""recommendations"": ""Verify each inferred link against the supporting evidence records before operational use.""}, ""note"": ""AI-generated content in this report is analytical output, not a confirmed police finding.""}",US000002,2024-04-05T02:00:18Z
RP000002,Network Intelligence Summary,P000044,,Network Intelligence Summary - Alka Mohanty,"{""report_type"": ""Network Intelligence Summary"", ""generated_for"": ""Alka Mohanty"", ""data_classification"": ""SYNTHETIC / DEMO DATA - NOT REAL POLICE DATA"", ""summary"": ""Consolidated analytical overview compiled from 6989 evidence-backed relationships across the synthetic DRISHYAM dataset. Subject: Alka Mohanty."", ""sections"": {""identity"": ""See Dossier 360 for the full identity and alias trail."", ""network_position"": ""Centrality and community metrics derived from the relationships graph."", ""recommendations"": ""Verify each inferred link against the supporting evidence records before operational use.""}, ""note"": ""AI-generated content in this report is analytical output, not a confirmed police finding.""}",US000002,2025-10-17T09:49:37Z
RP000003,Case Evidence Brief,AC000024,,Case Evidence Brief - Network-wide,"{""report_type"": ""Case Evidence Brief"", ""generated_for"": ""Network-wide"", ""data_classification"": ""SYNTHETIC / DEMO DATA - NOT REAL POLICE DATA"", ""summary"": ""Consolidated analytical overview compiled from 6989 evidence-backed relationships across the synthetic DRISHYAM dataset. Subject: Network-wide."", ""sections"": {""identity"": ""See Dossier 360 for the full identity and alias trail."", ""network_position"": ""Centrality and community metrics derived from the relationships graph."", ""recommendations"": ""Verify each inferred link against the supporting evidence records before operational use.""}, ""note"": ""AI-generated content in this report is analytical output, not a confirmed police finding.""}",US000002,2026-02-23T15:48:51Z
RP000004,Anomaly Assessment Note,P000071,CS000046,Anomaly Assessment Note - Dayita Nadig,"{""report_type"": ""Anomaly Assessment Note"", ""generated_for"": ""Dayita Nadig"", ""data_classification"": ""SYNTHETIC / DEMO DATA - NOT REAL POLICE DATA"", ""summary"": ""Consolidated analytical overview compiled from 6989 evidence-backed relationships across the synthetic DRISHYAM dataset. Subject: Dayita Nadig."", ""sections"": {""identity"": ""See Dossier 360 for the full identity and alias trail."", ""network_position"": ""Centrality and community metrics derived from the relationships graph."", ""recommendations"": ""Verify each inferred link against the supporting evidence records before operational use.""}, ""note"": ""AI-generated content in this report is analytical output, not a confirmed police finding.""}",US000002,2024-11-07T08:27:58Z
RP000005,Entity Relationship Report,P000169,,Entity Relationship Report - Balvan Kapadia,"{""report_type"": ""Entity Relationship Report"", ""generated_for"": ""Balvan Kapadia"", ""data_classification"": ""SYNTHETIC / DEMO DATA - NOT REAL POLICE DATA"", ""summary"": ""Consolidated analytical overview compiled from 6989 evidence-backed relationships across the synthetic DRISHYAM dataset. Subject: Balvan Kapadia."", ""sections"": {""identity"": ""See Dossier 360 for the full identity and alias trail."", ""network_position"": ""Centrality and community metrics derived from the relationships graph."", ""recommendations"": ""Verify each inferred link against the supporting evidence records before operational use.""}, ""note"": ""AI-generated content in this report is analytical output, not a confirmed police finding.""}",US000002,2024-08-21T13:23:18Z
RP000006,Network Intelligence Summary,P000019,,Network Intelligence Summary - Nandini Borah,"{""report_type"": ""Network Intelligence Summary"", ""generated_for"": ""Nandini Borah"", ""data_classification"": ""SYNTHETIC / DEMO DATA - NOT REAL POLICE DATA"", ""summary"": ""Consolidated analytical overview compiled from 6989 evidence-backed relationships across the synthetic DRISHYAM dataset. Subject: Nandini Borah."", ""sections"": {""identity"": ""See Dossier 360 for the full identity and alias trail."", ""network_position"": ""Centrality and community metrics derived from the relationships graph."", ""recommendations"": ""Verify each inferred link against the supporting evidence records before operational use.""}, ""note"": ""AI-generated content in this report is analytical output, not a confirmed police finding.""}",US000002,2025-05-30T01:40:58Z
RP000007,Case Evidence Brief,AC000003,CS000010,Case Evidence Brief - Network-wide,"{""report_type"": ""Case Evidence Brief"", ""generated_for"": ""Network-wide"", ""data_classification"": ""SYNTHETIC / DEMO DATA - NOT REAL POLICE DATA"", ""summary"": ""Consolidated analytical overview compiled from 6989 evidence-backed relationships across the synthetic DRISHYAM dataset. Subject: Network-wide."", ""sections"": {""identity"": ""See Dossier 360 for the full identity and alias trail."", ""network_position"": ""Centrality and community metrics derived from the relationships graph."", ""recommendations"": ""Verify each inferred link against the supporting evidence records before operational use.""}, ""note"": ""AI-generated content in this report is analytical output, not a confirmed police finding.""}",US000002,2024-10-03T11:19:39Z
RP000008,Anomaly Assessment Note,AC000004,,Anomaly Assessment Note - Network-wide,"{""report_type"": ""Anomaly Assessment Note"", ""generated_for"": ""Network-wide"", ""data_classification"": ""SYNTHETIC / DEMO DATA - NOT REAL POLICE DATA"", ""summary"": ""Consolidated analytical overview compiled from 6989 evidence-backed relationships across the synthetic DRISHYAM dataset. Subject: Network-wide."", ""sections"": {""identity"": ""See Dossier 360 for the full identity and alias trail."", ""network_position"": ""Centrality and community metrics derived from the relationships graph."", ""recommendations"": ""Verify each inferred link against the supporting evidence records before operational use.""}, ""note"": ""AI-generated content in this report is analytical output, not a confirmed police finding.""}",US000002,2024-05-29T13:20:02Z
RP000009,Entity Relationship Report,P000197,,Entity Relationship Report - Lavanya Kaul,"{""report_type"": ""Entity Relationship Report"", ""generated_for"": ""Lavanya Kaul"", ""data_classification"": ""SYNTHETIC / DEMO DATA - NOT REAL POLICE DATA"", ""summary"": ""Consolidated analytical overview compiled from 6989 evidence-backed relationships across the synthetic DRISHYAM dataset. Subject: Lavanya Kaul."", ""sections"": {""identity"": ""See Dossier 360 for the full identity and alias trail."", ""network_position"": ""Centrality and community metrics derived from the relationships graph."", ""recommendations"": ""Verify each inferred link against the supporting evidence records before operational use.""}, ""note"": ""AI-generated content in this report is analytical output, not a confirmed police finding.""}",US000002,2024-08-18T21:29:19Z
RP000010,Network Intelligence Summary,P000138,CS000007,Network Intelligence Summary - Kashish Venkatesh,"{""report_type"": ""Network Intelligence Summary"", ""generated_for"": ""Kashish Venkatesh"", ""data_classification"": ""SYNTHETIC / DEMO DATA - NOT REAL POLICE DATA"", ""summary"": ""Consolidated analytical overview compiled from 6989 evidence-backed relationships across the synthetic DRISHYAM dataset. Subject: Kashish Venkatesh."", ""sections"": {""identity"": ""See Dossier 360 for the full identity and alias trail."", ""network_position"": ""Centrality and community metrics derived from the relationships graph."", ""recommendations"": ""Verify each inferred link against the supporting evidence records before operational use.""}, ""note"": ""AI-generated content in this report is analytical output, not a confirmed police finding.""}",US000002,2026-03-09T21:02:43Z
RP000011,Case Evidence Brief,P000154,,Case Evidence Brief - Oni Borde,"{""report_type"": ""Case Evidence Brief"", ""generated_for"": ""Oni Borde"", ""data_classification"": ""SYNTHETIC / DEMO DATA - NOT REAL POLICE DATA"", ""summary"": ""Consolidated analytical overview compiled from 6989 evidence-backed relationships across the synthetic DRISHYAM dataset. Subject: Oni Borde."", ""sections"": {""identity"": ""See Dossier 360 for the full identity and alias trail."", ""network_position"": ""Centrality and community metrics derived from the relationships graph."", ""recommendations"": ""Verify each inferred link against the supporting evidence records before operational use.""}, ""note"": ""AI-generated content in this report is analytical output, not a confirmed police finding.""}",US000002,2024-03-31T05:47:15Z
RP000012,Anomaly Assessment Note,P000001,,Anomaly Assessment Note - Ishita Sarna,"{""report_type"": ""Anomaly Assessment Note"", ""generated_for"": ""Ishita Sarna"", ""data_classification"": ""SYNTHETIC / DEMO DATA - NOT REAL POLICE DATA"", ""summary"": ""Consolidated analytical overview compiled from 6989 evidence-backed relationships across the synthetic DRISHYAM dataset. Subject: Ishita Sarna."", ""sections"": {""identity"": ""See Dossier 360 for the full identity and alias trail."", ""network_position"": ""Centrality and community metrics derived from the relationships graph."", ""recommendations"": ""Verify each inferred link against the supporting evidence records before operational use.""}, ""note"": ""AI-generated content in this report is analytical output, not a confirmed police finding.""}",US000002,2025-01-04T16:50:13Z
