id,full_name,person_role,dob,gender,address,risk_band,data_source,created_at
P000001,Ishita Sarna,criminal,1984-07-02,male,"240, North Car Street, Keezhakkarai, Perambalur, Tamil Nadu 635074",medium,SYNTHETIC,2026-09-07T05:41:13.152930Z
P000002,Neha Chakraborty,criminal,2002-07-13,male,"206, Dharmapuri Road, Meenakshi Nagar, Karur, Tamil Nadu 624888",medium,SYNTHETIC,2026-09-07T05:41:13.153008Z
P000003,Tanmayi Anne,criminal,1974-12-01,male,"41, Railway Station Road, RS Puram, Chengalpattu, Tamil Nadu 619554",unknown,SYNTHETIC,2026-09-07T05:41:13.153063Z
P000004,Ekansh Misra,criminal,1978-01-06,male,"409, Harbour Approach Road, Velachery, Thiruvarur, Tamil Nadu 617396",high,SYNTHETIC,2026-09-07T05:41:13.153109Z
P000005,Tanveer Dhillon,criminal,1992-01-16,male,"336, Kamraj Road, Vadapalani, Thiruvarur, Tamil Nadu 604424",medium,SYNTHETIC,2026-09-07T05:41:13.153152Z
P000006,Andrew Oommen,criminal,1984-09-25,male,"255, Nethaji Road, Ganapathy, Tiruppur, Tamil Nadu 601277",high,SYNTHETIC,2026-09-07T05:41:13.153274Z
P000007,Zaitra Sekhon,criminal,1994-09-30,male,"12, Bypass Road, Washermenpet, Cuddalore, Tamil Nadu 600921",medium,SYNTHETIC,2026-09-07T05:41:13.153320Z
P000008,Aadi Goswami,criminal,1980-11-01,male,"195, Nethaji Road, Tambaram, Thoothukudi, Tamil Nadu 612944",medium,SYNTHETIC,2026-09-07T05:41:13.153359Z
P000009,Azad Gaba,criminal,1973-02-16,male,"71, Market Street, Chromepet, Kancheepuram, Tamil Nadu 612669",medium,SYNTHETIC,2026-09-07T05:41:13.153404Z
P000010,Yatan Biswas,criminal,2002-04-03,male,"194, Eruvadi Road, RS Puram, Cuddalore, Tamil Nadu 637580",medium,SYNTHETIC,2026-09-07T05:41:13.153444Z
P000011,Oeshi Lala,criminal,1993-11-24,male,"102, Nethaji Road, Keezhakkarai, Pudukkottai, Tamil Nadu 639114",low,SYNTHETIC,2026-09-07T05:41:13.153868Z
P000012,Baghyawati Parsa,criminal,1999-03-28,male,"56, Church Street, Bharathi Bazaar, Sivaganga, Tamil Nadu 633535",medium,SYNTHETIC,2026-09-07T05:41:13.153964Z
P000013,Fitan Pau,criminal,2002-06-29,male,"4, Harbour Approach Road, Mattuthavani, Ramanathapuram, Tamil Nadu 629819",medium,SYNTHETIC,2026-09-07T05:41:13.154035Z
P000014,Falan Shroff,criminal,2006-04-10,male,"397, Main Road, Anna Nagar, Sivaganga, Tamil Nadu 601216",low,SYNTHETIC,2026-09-07T05:41:13.154106Z
P000015,Unni Sood,criminal,2005-07-29,male,"312, Harbour Approach Road, Ganapathy, Thiruvarur, Tamil Nadu 604828",medium,SYNTHETIC,2026-09-07T05:41:13.154204Z
P000016,Simon Luthra,criminal,1995-07-30,male,"187, Market Street, Anna Nagar, Coimbatore, Tamil Nadu 620956",low,SYNTHETIC,2026-09-07T05:41:13.154275Z
P000017,Yashawini Radhakrishnan,criminal,1993-05-16,male,"326, Railway Station Road, Vadapalani, Thanjavur, Tamil Nadu 616732",medium,SYNTHETIC,2026-09-07T05:41:13.154340Z
P000018,Hema Bains,criminal,1996-12-31,male,"332, Load Road, Ukkadam, Tiruchchirappalli, Tamil Nadu 630795",unknown,SYNTHETIC,2026-09-07T05:41:13.154412Z
P000019,Nandini Borah,criminal,1973-09-19,male,"9, Double Road, Nellithope, Tiruvannamalai, Tamil Nadu 600842",high,SYNTHETIC,2026-09-07T05:41:13.154500Z
P000020,Pahal Ratti,criminal,1999-12-22,female,"6, Railway Station Road, Muthialpet, Cuddalore, Tamil Nadu 633126",unknown,SYNTHETIC,2026-09-07T05:41:13.154567Z
P000021,Yasti Reddy,criminal,1967-12-20,male,"17, Market Street, Palayamkottai, Karur, Tamil Nadu 611762",medium,SYNTHETIC,2026-09-07T05:41:13.154633Z
P000022,Ekavir Bhattacharyya,criminal,1971-04-20,male,"150, 5th Cross, Mettupalayam, Tiruppur, Tamil Nadu 629764",high,SYNTHETIC,2026-09-07T05:41:13.154698Z
P000023,Upadhriti Puri,criminal,1993-10-14,male,"300, Harbour Approach Road, Royapuram, Nagapattinam, Tamil Nadu 622057",high,SYNTHETIC,2026-09-07T05:41:13.154766Z
P000024,Sai Sundaram,criminal,2000-10-01,female,"192, Double Road, Valluvar Layout, Karur, Tamil Nadu 627391",high,SYNTHETIC,2026-09-07T05:41:13.154827Z
P000025,Oviya Tripathi,criminal,1960-08-02,male,"71, Load Road, Anna Nagar, Cuddalore, Tamil Nadu 614126",low,SYNTHETIC,2026-09-07T05:41:13.154890Z
P000026,Ekaraj Zacharia,criminal,1966-02-05,male,"379, Service Lane, Meenakshi Nagar, Thiruvallur, Tamil Nadu 606066",low,SYNTHETIC,2026-09-07T05:41:13.154952Z
P000027,Ria Sabharwal,criminal,1992-01-07,male,"53, Harbour Approach Road, Washermenpet, Tiruchchirappalli, Tamil Nadu 634884",medium,SYNTHETIC,2026-09-07T05:41:13.155020Z
P000028,Jeremiah Anne,criminal,1961-07-06,male,"398, South Mada Street, Chokkanadar Pettai, Ariyalur, Tamil Nadu 603204",medium,SYNTHETIC,2026-09-07T05:41:13.155083Z
P000029,Daksha Menon,criminal,1958-12-28,male,"174, Railway Station Road, Nellithope, Namakkal, Tamil Nadu 616295",medium,SYNTHETIC,2026-09-07T05:41:13.155150Z
P000030,Warinder Tripathi,criminal,1973-02-03,female,"91, Harbour Approach Road, Keezhakkarai, Coimbatore, Tamil Nadu 602733",low,SYNTHETIC,2026-09-07T05:41:13.155212Z
P000031,Zayyan Mohan,criminal,1976-07-31,male,"33, Double Road, Adyar, Pudukkottai, Tamil Nadu 614724",low,SYNTHETIC,2026-09-07T05:41:13.155272Z
P000032,Ikbal Raghavan,criminal,1980-06-19,male,"16, Kamraj Road, Keezhakkarai, Tiruppur, Tamil Nadu 632320",medium,SYNTHETIC,2026-09-07T05:41:13.155347Z
P000033,Yauvani Bumb,criminal,1992-12-06,male,"72, Kamraj Road, Ganapathy, Erode, Tamil Nadu 637520",medium,SYNTHETIC,2026-09-07T05:41:13.155411Z
P000034,Chatura Konda,criminal,1957-04-27,male,"106, Service Lane, Madurai Junction, Namakkal, Tamil Nadu 618923",medium,SYNTHETIC,2026-09-07T05:41:13.155475Z
P000035,Akshay Rege,criminal,1999-06-26,female,"337, Market Street, Muthialpet, Tiruchchirappalli, Tamil Nadu 628185",high,SYNTHETIC,2026-09-07T05:41:13.155541Z
P000036,Janaki Hans,criminal,1963-07-17,male,"169, Double Road, Ambattur, Tiruvannamalai, Tamil Nadu 600900",high,SYNTHETIC,2026-09-07T05:41:13.155607Z
P000037,Vasatika Magar,criminal,1996-11-28,male,"230, High Court Road, Sowdambika Layout, Kancheepuram, Tamil Nadu 604918",low,SYNTHETIC,2026-09-07T05:41:13.155670Z
P000038,Ria Nayar,criminal,1976-01-31,male,"396, Bypass Road, Royapuram, Ariyalur, Tamil Nadu 628525",low,SYNTHETIC,2026-09-07T05:41:13.155736Z
P000039,Aarna Atwal,criminal,1973-09-20,female,"195, Dharmapuri Road, Garuda Mall Corridor, Virudhunagar, Tamil Nadu 615963",medium,SYNTHETIC,2026-09-07T05:41:13.155800Z
P000040,Abha Shroff,criminal,1980-10-21,female,"45, Double Road, Azhagar Koil Road, Chengalpattu, Tamil Nadu 601476",low,SYNTHETIC,2026-09-07T05:41:13.155863Z
P000041,Bhavika Halder,criminal,2000-09-26,male,"309, Double Road, Keezhakkarai, Virudhunagar, Tamil Nadu 622208",low,SYNTHETIC,2026-09-07T05:41:13.155929Z
P000042,Arjun Soman,criminal,1985-08-03,male,"142, Harbour Approach Road, Estancia, Erode, Tamil Nadu 627983",low,SYNTHETIC,2026-09-07T05:41:13.155992Z
P000043,Baljiwan Ghose,criminal,1994-11-02,male,"35, Market Street, Mettupalayam, Namakkal, Tamil Nadu 607766",low,SYNTHETIC,2026-09-07T05:41:13.156054Z
P000044,Alka Mohanty,criminal,1976-01-18,male,"96, Kamraj Road, Kuruvikulam, Thiruvarur, Tamil Nadu 634158",high,SYNTHETIC,2026-09-07T05:41:13.156129Z
P000045,Ishanvi Kari,criminal,2005-01-20,male,"372, Periyar Road, Garuda Mall Corridor, Villupuram, Tamil Nadu 602980",medium,SYNTHETIC,2026-09-07T05:41:13.156334Z
P000046,Christopher Sathe,criminal,1963-01-30,male,"218, Service Lane, Palladam, Ariyalur, Tamil Nadu 634788",high,SYNTHETIC,2026-09-07T05:41:13.156418Z
P000047,Aditya Kibe,criminal,2000-10-30,male,"211, Eruvadi Road, Kallamadu, Thiruvarur, Tamil Nadu 601691",high,SYNTHETIC,2026-09-07T05:41:13.156471Z
P000048,Chakrika Tripathi,criminal,1989-07-22,female,"165, Bypass Road, Nellithope, Dharmapuri, Tamil Nadu 627719",medium,SYNTHETIC,2026-09-07T05:41:13.156520Z
